# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
DAN 4:29	DAN 4:32	Renumber verse
DAN 4:3	DAN 4:6	Renumber verse
DAN 4:30	DAN 4:33	Renumber verse
DAN 4:31	DAN 4:34	Renumber verse
DAN 4:32	DAN 4:35	Renumber verse
DAN 4:33	DAN 4:36	Renumber verse
DAN 4:34	DAN 4:37	Renumber verse
DAN 4:4	DAN 4:7	Renumber verse
DAN 4:5	DAN 4:8	Renumber verse
DAN 4:6	DAN 4:9	Renumber verse
DAN 4:7	DAN 4:10	Renumber verse
DAN 4:8	DAN 4:11	Renumber verse
DAN 4:9	DAN 4:12	Renumber verse
DAN 6:1	DAN 5:31	Renumber verse
DAN 6:10	DAN 6:9	Renumber verse
DAN 6:11	DAN 6:10	Renumber verse
DAN 6:12	DAN 6:11	Renumber verse
DAN 6:13	DAN 6:12	Renumber verse
DAN 6:14	DAN 6:13	Renumber verse
DAN 6:15	DAN 6:14	Renumber verse
DAN 6:16	DAN 6:15	Renumber verse
DAN 6:17	DAN 6:16	Renumber verse
DAN 6:18	DAN 6:17	Renumber verse
DAN 6:19	DAN 6:18	Renumber verse
DAN 6:2	DAN 6:1	Renumber verse
DAN 6:20	DAN 6:19	Renumber verse
DAN 6:21	DAN 6:20	Renumber verse
DAN 6:22	DAN 6:21	Renumber verse
DAN 6:23	DAN 6:22	Renumber verse
DAN 6:24	DAN 6:23	Renumber verse
DAN 6:25	DAN 6:24	Renumber verse
DAN 6:26	DAN 6:25	Renumber verse
DAN 6:27	DAN 6:26	Renumber verse
DAN 6:28	DAN 6:27	Renumber verse
DAN 6:29	DAN 6:28	Renumber verse
DAN 6:3	DAN 6:2	Renumber verse
DAN 6:4	DAN 6:3	Renumber verse
DAN 6:5	DAN 6:4	Renumber verse
DAN 6:6	DAN 6:5	Renumber verse
DAN 6:7	DAN 6:6	Renumber verse
DAN 6:8	DAN 6:7	Renumber verse
DAN 6:9	DAN 6:8	Renumber verse
DEU 13:1	DEU 12:32	Renumber verse
DEU 13:10	DEU 13:9	Renumber verse
DEU 13:11	DEU 13:10	Renumber verse
DEU 13:12	DEU 13:11	Renumber verse
DEU 13:13	DEU 13:12	Renumber verse
DEU 13:14	DEU 13:13	Renumber verse
DEU 13:15	DEU 13:14	Renumber verse
DEU 13:16	DEU 13:15	Renumber verse
DEU 13:17	DEU 13:16	Renumber verse
DEU 13:18	DEU 13:17	Renumber verse
DEU 13:19	DEU 13:18	Renumber verse
DEU 13:2	DEU 13:1	Renumber verse
DEU 13:3	DEU 13:2	Renumber verse
DEU 13:4	DEU 13:3	Renumber verse
DEU 13:5	DEU 13:4	Renumber verse
DEU 13:6	DEU 13:5	Renumber verse
DEU 13:7	DEU 13:6	Renumber verse
